AICTE ID,NAME,PROGRAMME,UNIVERSITY,LEVEL OF COURSE,COURSE,INTAKE,ADDRESS,ZONE,CITY,DISTRICT,STATE,INSTITUTE TYPE,,
1-36968078490,ACADEMY OF PHARMACY MEDICAL AND MANAGEMENT STUDIES,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM(FINANCE MARKETING AND HUMAN RESOURCE MANAGEMENT),60,"KOILWAR, BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36972751310,JINVANI MANAGEMENT COLLEGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (FINANCE),60,"SIKANDRPUR, ARA- BIHIA ROAD BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36972751310,JINVANI MANAGEMENT COLLEGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (HUMAN RESOURCE MANAGEMENT ),60,"SIKANDRPUR, ARA- BIHIA ROAD BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36972751310,JINVANI MANAGEMENT COLLEGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (MARKETING MANAGEMENT),60,"SIKANDRPUR, ARA- BIHIA ROAD BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36972751310,JINVANI MANAGEMENT COLLEGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (RETAIL MANAGEMENT ),60,"SIKANDRPUR, ARA- BIHIA ROAD BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36975956044,MAGADH PROFESSIONAL INSTITUTE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (MARKETING AND SALES MANAGEMENT ),120,NASRIGANJ,EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36975956044,MAGADH PROFESSIONAL INSTITUTE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (FINANCE),60,NASRIGANJ,EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36975956044,MAGADH PROFESSIONAL INSTITUTE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (HEALTH CARE AND HOSPITAL MANAGEMENT),60,NASRIGANJ,EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36975956044,MAGADH PROFESSIONAL INSTITUTE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (HUMAN RESOURCE DEVELOPMENT AND MANAGEMENT),60,NASRIGANJ,EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36966135715,CHANAKYA INSTITUTE OF MANAGEMENT AND HIGHER STUDIES,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (FINANCE ),60,"KOILWAR, BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36966135715,CHANAKYA INSTITUTE OF MANAGEMENT AND HIGHER STUDIES,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (HUMAN RESOURCE MANAGEMENT),60,"KOILWAR, BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36966135715,CHANAKYA INSTITUTE OF MANAGEMENT AND HIGHER STUDIES,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (MARKETING ),60,"KOILWAR, BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36966135715,CHANAKYA INSTITUTE OF MANAGEMENT AND HIGHER STUDIES,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (RURAL MANAGEMENT),60,"KOILWAR, BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36966135715,CHANAKYA INSTITUTE OF MANAGEMENT AND HIGHER STUDIES,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA(FINANCE MARKETING AND HUMAN RESOURCE MANAGEMENT),120,"KOILWAR, BHOJPUR",EAST,BHOJPUR,BHOJPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36967927753,BRADFORD INTERNATIONAL BUSINESS SCHOOL,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA,60,"KARMALICHEK, MAIN BYPASS ROAD, NH31, ADJACENT TO DIDARGANJ TOLL PLAZA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36967977700,SNB COLLEGE OF PHARMACY AND MANAGEMENT,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM (BUSINESS MANAGEMENT),60,"AT- AMHARA, PS- BIHTA, DISTRIC-PATNA, BIHAR-801118",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36967977700,SNB COLLEGE OF PHARMACY AND MANAGEMENT,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM (FINANCE),60,"AT- AMHARA, PS- BIHTA, DISTRIC-PATNA, BIHAR-801118",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36967977700,SNB COLLEGE OF PHARMACY AND MANAGEMENT,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM(FINANCE MARKETING AND HUMAN RESOURCE MANAGEMENT),60,"AT- AMHARA, PS- BIHTA, DISTRIC-PATNA, BIHAR-801118",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36967977700,SNB COLLEGE OF PHARMACY AND MANAGEMENT,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM(HOSPITAL AND HEALTH MANAGEMENT),60,"AT- AMHARA, PS- BIHTA, DISTRIC-PATNA, BIHAR-801118",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36967977700,SNB COLLEGE OF PHARMACY AND MANAGEMENT,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM(HUMAN RESOURCE MANAGEMENT),60,"AT- AMHARA, PS- BIHTA, DISTRIC-PATNA, BIHAR-801118",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-38694441432,CHANAKYA COLLEGE OF HIGHER STUDIES,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM,60,"BAILY ROAD, KHAGAUL NAHAR, PATNA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-38694441432,CHANAKYA COLLEGE OF HIGHER STUDIES,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM (ENTREPRENEURSHIP ),30,"BAILY ROAD, KHAGAUL NAHAR, PATNA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-38694441432,CHANAKYA COLLEGE OF HIGHER STUDIES,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM (FINANCE MARKETING AND HUMAN RESOURCE MANAGEMENT),60,"BAILY ROAD, KHAGAUL NAHAR, PATNA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-38694441432,CHANAKYA COLLEGE OF HIGHER STUDIES,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM (HEALTH CARE ADMINISTRATION),60,"BAILY ROAD, KHAGAUL NAHAR, PATNA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-38694441432,CHANAKYA COLLEGE OF HIGHER STUDIES,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM (HEALTH CARE AND HOSPITAL MANAGEMENT),60,"BAILY ROAD, KHAGAUL NAHAR, PATNA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-38694441432,CHANAKYA COLLEGE OF HIGHER STUDIES,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM (HOSPITAL AND HEALTH CARE MANAGEMENT),60,"BAILY ROAD, KHAGAUL NAHAR, PATNA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-38694441432,CHANAKYA COLLEGE OF HIGHER STUDIES,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM (INFORMATION TECHNOLOGY ),30,"BAILY ROAD, KHAGAUL NAHAR, PATNA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43389358727,RAJAN MAMTA DEGREE COLLEGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (FINANCIAL ADMINISTRATION),60,"AT JASOIYA MORE, OPPOSITE LIC BUILDING, RAPURA BHARTHAULI ROAD",EAST,AURANGABAD,AURANGABAD,BIHAR,PRIVATE-SELF FINANCING,,
1-43389358727,RAJAN MAMTA DEGREE COLLEGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (FINANCIAL MANAGEMENT),60,"AT JASOIYA MORE, OPPOSITE LIC BUILDING, RAPURA BHARTHAULI ROAD",EAST,AURANGABAD,AURANGABAD,BIHAR,PRIVATE-SELF FINANCING,,
1-43389358727,RAJAN MAMTA DEGREE COLLEGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (HUMAN RESOURCE MANAGEMENT),60,"AT JASOIYA MORE, OPPOSITE LIC BUILDING, RAPURA BHARTHAULI ROAD",EAST,AURANGABAD,AURANGABAD,BIHAR,PRIVATE-SELF FINANCING,,
1-43389358727,RAJAN MAMTA DEGREE COLLEGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (RURAL MANAGEMENT),60,"AT JASOIYA MORE, OPPOSITE LIC BUILDING, RAPURA BHARTHAULI ROAD",EAST,AURANGABAD,AURANGABAD,BIHAR,PRIVATE-SELF FINANCING,,
1-43393458073,AMBEDKAR INSTITUTE OF HIGHER EDUCATION,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA,120,"CHHITNAWA, DANAPUR, PATNA 801503",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43395851023,MAMTA INSTITUTE OF EDUCATION,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA,60,CHINTAMANPUR DARAUNDHA SIWAN,EAST,SIWAN,SIWAN,BIHAR,PRIVATE-SELF FINANCING,,
1-43362158963,INSTITUTE OF MANAGEMENT AND PLANNING AND ADVANCED COMPUTER TRAINING,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA,60,"LANKA KACHHUARA, ALABAKSHPUR, SAMPATCHAK, GAURICHAK, PATNA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43370052643,HIMALAYA COLLEGE OF PROFESSIONAL EDUCATION,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (FINANCIAL MANAGEMENT),60,"CHIKSI, PALIGANJ, PATNA, BIHAR",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43370052643,HIMALAYA COLLEGE OF PROFESSIONAL EDUCATION,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (HEALTH CARE AND HOSPITAL MANAGEMENT),60,"CHIKSI, PALIGANJ, PATNA, BIHAR",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43370052643,HIMALAYA COLLEGE OF PROFESSIONAL EDUCATION,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (HUMAN RESOURCE DEVELOPMENT AND MANAGEMENT),60,"CHIKSI, PALIGANJ, PATNA, BIHAR",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43370052643,HIMALAYA COLLEGE OF PROFESSIONAL EDUCATION,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (INFORMATION MANAGEMENT),60,"CHIKSI, PALIGANJ, PATNA, BIHAR",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43370052643,HIMALAYA COLLEGE OF PROFESSIONAL EDUCATION,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (MARKETING MANAGEMENT),60,"CHIKSI, PALIGANJ, PATNA, BIHAR",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43370052643,HIMALAYA COLLEGE OF PROFESSIONAL EDUCATION,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA (RURAL MANAGEMENT),60,"CHIKSI, PALIGANJ, PATNA, BIHAR",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43376185364,SATYAM INTERNATIONAL INSTITUTE OF TECHNOLOGY AND MANAGEMENT,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA,120,"GAURICHAK, PATNA GAYA ROAD",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43376185364,SATYAM INTERNATIONAL INSTITUTE OF TECHNOLOGY AND MANAGEMENT,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA,60,"GAURICHAK, PATNA GAYA ROAD",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-43376185364,SATYAM INTERNATIONAL INSTITUTE OF TECHNOLOGY AND MANAGEMENT,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA,60,"GAURICHAK, PATNA GAYA ROAD",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36551908072,SIWAN COLLEGE OF ENGINEERING AND MANAGEMENT,MANAGEMENT,"BIHAR ENGINEERING UNIVERSITY, PATNA",POST GRADUATE,MBA,45,ISLAMIA NAGAR SURAPUR SIWAN,EAST,SIWAN,SIWAN,BIHAR,PRIVATE-SELF FINANCING,,
1-36240957972,UNIVERSITY DEPARTMENT OF COMMERCE AND BUSINESS ADMINISTRATION,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,MBA(BUSINESS MANAGEMENT),60,"PRABANDHAN BHAWAN, KAMESHWARANAGAR,",EAST,DARBHANGA,DARBHANGA,BIHAR,STATE GOVERNMENT UNIVERSITY,,
1-36235506652,B. D. COLLEGE,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,MBA,54,"MOH.- MITHAPUR, P.O.- G.P.O.",EAST,PATNA,PATNA,BIHAR,STATE GOVERNMENT UNIVERSITY,,
1-36234694819,MILLIA INSTITUTE OF TECHNOLOGY,MANAGEMENT,"BIHAR ENGINEERING UNIVERSITY, PATNA",POST GRADUATE,MBA,60,"RAMBAGH, PURNEA",EAST,PURNIA,PURNIA,BIHAR,PRIVATE-SELF FINANCING,,
1-36255308655,INSTITUTE OF BUSINESS MANAGEMENT,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM,45,"BUDH MARG, PATNA-800001",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36255234571,R.P.SHARMA INSTITUTE OF TECHNOLOGY,MANAGEMENT,"BIHAR ENGINEERING UNIVERSITY,PATNA",POST GRADUATE,MBA,60,RAGHUNATH PH WEST BAILEY ROAD DANAPUR PATNA,EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36244310049,INDU DEVI RANJEET KUMAR PRAKASH PROFESSIONAL COLLEGE,MANAGEMENT,"BABASAHEB BHIMRAO AMBEDKAR BIHAR UNIVERSITY, MUZAFFARPUR",POST GRADUATE,MBA (GENERAL MANAGEMENT),240,HAJIPUR,EAST,VAISHALI,VAISHALI,BIHAR,PRIVATE-SELF FINANCING,,
1-36214157401,NARAYANA ACADEMY OF MANAGERIAL EXCELLENCE,MANAGEMENT,GOPAL NARAYAN SINGH UNIVERSITY,POST GRADUATE,MBA(AGRI BUSINESS MANAGEMENT/ ENTREPRENEURSHIP),60,"VILL+PO:JAMUHAR OLD GT ROAD PS: DEHRI ON SONE, DIST-ROHTAS PIN: 821305",EAST,ROHTAS,ROHTAS,BIHAR,PRIVATE-SELF FINANCING,,
1-36214157401,NARAYANA ACADEMY OF MANAGERIAL EXCELLENCE,MANAGEMENT,GOPAL NARAYAN SINGH UNIVERSITY,POST GRADUATE,MBA(MARKETING AND SALES MANAGEMENT),60,"VILL+PO:JAMUHAR OLD GT ROAD PS: DEHRI ON SONE, DIST-ROHTAS PIN: 821305",EAST,ROHTAS,ROHTAS,BIHAR,PRIVATE-SELF FINANCING,,
1-36214157401,NARAYANA ACADEMY OF MANAGERIAL EXCELLENCE,MANAGEMENT,GOPAL NARAYAN SINGH UNIVERSITY,POST GRADUATE,MBA(PERSONNEL MANAGEMENT AND HUMAN RESOURCE DEVELOPMENT),60,"VILL+PO:JAMUHAR OLD GT ROAD PS: DEHRI ON SONE, DIST-ROHTAS PIN: 821305",EAST,ROHTAS,ROHTAS,BIHAR,PRIVATE-SELF FINANCING,,
1-36222464320,"BIRLA INSTITUTE OF TECHNOLOGY, PATNA",MANAGEMENT,"BIRLA INSTITUTE OF TECHNOLOGY, RANCHI",POST GRADUATE,MBA,60,"PO- B.V. COLLEGE, PATNA",EAST,PATNA,PATNA,BIHAR,GOVT AIDED,,
1-36216952950,COLLEGE OF COMMERCE ARTS & SCEINCE,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,MBA,60,KANKARBAGH,EAST,PATNA,PATNA,BIHAR,STATE GOVERNMENT UNIVERSITY,,
1-36233914134,DEVELOPMENT MANAGEMENT INSTITUTE,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM,60,"DEVELOPMENT MANAGEMENT INSTITUTE (DMI), SECOND FLOOR, UDYOG BHAVAN, EAST GANDHI MAIDAN PATNA 800004 BIHAR INDIA",EAST,PATNA,PATNA,BIHAR,GOVT AIDED,,
1-36233590532,L. N. MISHRA INSTITUTEOF ECONOMIC DEVELOPMENT AND SOCIAL CHANGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA(HUMAN RESOURCE DEVELOPMENT),75,"1, BAILEY ROAD",EAST,PATNA,PATNA,BIHAR,GOVERNMENT,,
1-36233590532,L. N. MISHRA INSTITUTEOF ECONOMIC DEVELOPMENT AND SOCIAL CHANGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA(INTERNATIONAL BUSINESS),60,"1, BAILEY ROAD",EAST,PATNA,PATNA,BIHAR,GOVERNMENT,,
1-36222731331,"INSTITUTE OF BUSINESS MANAGEMENT, BELA, DARBHANGA",MANAGEMENT,"LALIT NARAYAN MITHILA UNIVERSITY, DARBHANGA",POST GRADUATE,MBA(BUSINESS MANAGEMENT),60,"BELA, DARBHANGA",EAST,DARBHANGA,DARBHANGA,BIHAR,PRIVATE-SELF FINANCING,,
1-36257726521,"ANUGRAH NARAYAN COLLEGE, PATNA",MANAGEMENT,"PATLIPUTRA UNIVETSITY, PATNA",POST GRADUATE,MBA,60,"PO-PATLIPUTRA, BORING ROAD, PATNA",EAST,PATNA,PATNA,BIHAR,GOVERNMENT,,
1-36498022751,NALANDA COLLEGE,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,MBA,60,BIHARSHARIF DIST. NALANDA 803101 (BIHAR),EAST,NALANDA,NALANDA,BIHAR,STATE GOVERNMENT UNIVERSITY,,
1-36489760872,INTERNATIONAL SCHOOL OF MANAGEMENT PATNA,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM,120,"VILL.-SARARI, P.S. - SHAHPUR, KHAGAUL, DANAPUR, PATNA",EAST,PATNA,PATNA,BIHAR,PRIVATE-SELF FINANCING,,
1-36488025956,L.N.MISHRA COLLEGE OF BUSINESS MANAGEMENT,MANAGEMENT,"BABASAHEB BHIMRAO AMBEDKAR BIHAR UNIVERSITY, MUZAFFARPUR",POST GRADUATE,MBA,120,BHAGWANPUR CHOWK,EAST,MUZAFFARPUR,MUZAFFARPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36500165385,B. S. COLLEGE,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,MBA,60,PATNA DIGHA ROAD,EAST,PATNA,PATNA,BIHAR,STATE GOVERNMENT UNIVERSITY,,
1-36518981763,LALIT NARAYAN MISHRA INSTITUTE OF ECONOMIC DEVELOPMENT AND SOCIAL CHANGE,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA,220,"1, BAILEY ROAD PATNA - 1 BIHAR",EAST,PATNA,PATNA,BIHAR,GOVERNMENT,,
1-36518943098,VAISHALI INSTITUTE OF BUSINESS & RURAL MANAGEMENT,MANAGEMENT,"BABASAHEB BHIMRAO AMBEDKAR BIHAR UNIVERSITY, MUZAFFARPUR",POST GRADUATE,MBA,77,"INSTITUTIONAL AREA,NARAYANPUR ANANT ROAD,P.O-RAMNA, MITHANPURA, MUZAFFARPUR, BIHAR-842002",EAST,MUZAFFARPUR,MUZAFFARPUR,BIHAR,PRIVATE-SELF FINANCING,,
1-36503699612,DEPARTMENT OF BUSINESS ADMINISTRATION (SSC),MANAGEMENT,"MAGADH UNIVERSITY, BODHGAYA",POST GRADUATE,MBA,60,"S.SINHA COLLEGE, AURANGABAD",EAST,AURANGABAD,AURANGABAD,BIHAR,GOVERNMENT,,
1-36450091776,GANGA GLOBAL INSTITUTE OF MANAGEMENT STUDIES,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA(MARKETING AND SALES MANAGEMENT),60,"GANGA GLOBAL GYAN PARISAR, RAMZANPUR, NH-31, NEAR GANGA DAIRY, BEGUSARAI, 851129",EAST,BEGUSARAI,BEGUSARAI,BIHAR,PRIVATE-SELF FINANCING,,
1-36450091776,GANGA GLOBAL INSTITUTE OF MANAGEMENT STUDIES,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA(RETAIL MANAGEMENT),60,"GANGA GLOBAL GYAN PARISAR, RAMZANPUR, NH-31, NEAR GANGA DAIRY, BEGUSARAI, 851129",EAST,BEGUSARAI,BEGUSARAI,BIHAR,PRIVATE-SELF FINANCING,,
1-36450091776,GANGA GLOBAL INSTITUTE OF MANAGEMENT STUDIES,MANAGEMENT,"ARYABHATTA KNOWLEDGE UNIVERSITY, PATNA",POST GRADUATE,MBA(RURAL MANAGEMENT),60,"GANGA GLOBAL GYAN PARISAR, RAMZANPUR, NH-31, NEAR GANGA DAIRY, BEGUSARAI, 851129",EAST,BEGUSARAI,BEGUSARAI,BIHAR,PRIVATE-SELF FINANCING,,
1-36260699038,CHANDRAGUPT INSTITUTE OF MANAGEMENT PATNA,MANAGEMENT,NONE,FELLOWSHIP,FELLOW PROGRAM IN MANAGEMENT,20,"MITHAPUR, P.O. GPO, P.S. JAKKANPUR, PATNA-800001, BIHAR",EAST,PATNA,PATNA,BIHAR,GOVT AIDED,,
1-36260699038,CHANDRAGUPT INSTITUTE OF MANAGEMENT PATNA,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM,120,"MITHAPUR, P.O. GPO, P.S. JAKKANPUR, PATNA-800001, BIHAR",EAST,PATNA,PATNA,BIHAR,GOVT AIDED,,
1-36260699038,CHANDRAGUPT INSTITUTE OF MANAGEMENT PATNA,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,"PGDM (INNOVATION, ENTREPRENEURSHIP AND VENTURE DEVELOPMENT (IEV))",30,"MITHAPUR, P.O. GPO, P.S. JAKKANPUR, PATNA-800001, BIHAR",EAST,PATNA,PATNA,BIHAR,GOVT AIDED,,
1-36258475792,J. D. WOMEN'S COLLEGE,MANAGEMENT,"PATLIPUTRA UNIVERSITY, PATNA",POST GRADUATE,MBA,60,BAILEY ROAD,EAST,PATNA,PATNA,BIHAR,GOVERNMENT,,
1-36445242682,K K UNIVERSITY,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,MBA,60,"AT BERAUTI, POST- NEPURA, PS-DEEPNAGAR, BIHARSHARIF ,NALANDA, BIHAR-803115",EAST,NALANDA,NALANDA,BIHAR,STATE PRIVATE UNIVERSITY,,
1-36263401348,DEPARTMENT OF BUSINESS ADMINISTRATION,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,MBA,81,GAYA COLLEGE,EAST,GAYA,GAYA,BIHAR,STATE GOVERNMENT UNIVERSITY,,
1-36496340100,MANAGEMENT EDUCATION AND RESEARCH INSTITUTE,MANAGEMENT,"GURU GOBIND SINGH INDRAPRASTHA UNIVERSITY, DELHI",POST GRADUATE,MBA(GENERAL MANAGEMENT),240,53-54 INSTITUTIONAL AREA JANAKPURI NEW DELHI,WEST,DELHI,WEST DELHI,DELHI,PRIVATE-SELF FINANCING,,
1-36528682846,NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,MBA,60,"AZAD HIND FAUJ MARG, SECTOR-3, DWARKA, NEW DELHI-110078",SOUTH ,DELHI,SOUTH WEST DELHI,DELHI,STATE GOVERNMENT UNIVERSITY,,
1-36528682846,NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY,MANAGEMENT,NOT APPLICABLE,POST GRADUATE,"MBA (INNOVATION, ENTREPRENEURSHIP AND VENTURE DEVELOPMENT)",30,"AZAD HIND FAUJ MARG, SECTOR-3, DWARKA, NEW DELHI-110078",SOUTH ,DELHI,SOUTH WEST DELHI,DELHI,STATE GOVERNMENT UNIVERSITY,,
1-36476656649,FORTUNE INSTITUTE OF INTERNATIONAL BUSINESS,MANAGEMENT,NONE,FELLOWSHIP,FELLOW PROGRAM IN MANAGEMENT,20,"PLOT NO 5, BASANT GAON, OPP ARMY (R&R) HOSPITAL RAO TULA RAM MARG",NORTH WEST ,DELHI,SOUTH WEST DELHI,DELHI,PRIVATE-SELF FINANCING,,
1-36476656649,FORTUNE INSTITUTE OF INTERNATIONAL BUSINESS,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM,240,"PLOT NO 5, BASANT GAON, OPP ARMY (R&R) HOSPITAL RAO TULA RAM MARG",NORTH WEST ,DELHI,SOUTH WEST DELHI,DELHI,PRIVATE-SELF FINANCING,,
